iter	Passed	Remaining
405	6286	9196
406	6297	9175
407	6307	9151
408	6318	9130
409	6332	9112
410	6344	9092
411	6354	9069
412	6366	9048
413	6379	9030
414	6393	9011
415	6402	8988
416	6414	8968
417	6426	8948
418	6436	8925
419	6448	8905
420	6460	8885
421	6477	8872
422	6495	8860
423	6510	8844
424	6525	8828
425	6540	8812
426	6552	8792
427	6566	8775
428	6585	8765
429	6598	8746
430	6610	8726
431	6619	8703
432	6631	8683
433	6643	8663
434	6652	8641
435	6664	8620
436	6676	8600
437	6685	8578
438	6698	8560
439	6710	8540
440	6723	8522
441	6740	8509
442	6750	8488
443	6763	8469
444	6775	8449
445	6784	8427
446	6798	8410
447	6809	8390
448	6821	8370
449	6830	8348
450	6841	8328
451	6853	8308
452	6862	8287
453	6875	8268
454	6887	8250
455	6899	8231
456	6911	8212
457	6923	8193
458	6935	8174
459	6945	8153
460	6956	8133
461	6969	8115
462	6982	8098
463	6998	8084
464	7010	8066
465	7022	8047
466	7032	8026
467	7042	8005
468	7054	7986
469	7065	7967
470	7077	7949
471	7090	7931
472	7102	7913
473	7111	7892
474	7123	7873
475	7135	7855
476	7145	7834
477	7157	7816
478	7168	7797
479	7178	7777
480	7191	7759
481	7203	7741
482	7215	7723
483	7226	7703
484	7237	7685
485	7250	7667
486	7260	7647
487	7272	7630
488	7283	7611
489	7293	7591
490	7306	7574
491	7318	7556
492	7329	7537
493	7339	7517
494	7351	7500
495	7363	7482
496	7373	7462
497	7387	7447
498	7399	7429
499	7411	7411
500	7424	7394
501	7436	7377
502	7448	7359
503	7458	7340
504	7469	7321
505	7481	7303
506	7493	7286
507	7503	7266
508	7515	7250
509	7527	7232
510	7538	7213
511	7550	7196
512	7564	7180
513	7576	7163
514	7586	7144
515	7599	7127
516	7611	7111
517	7622	7092
518	7634	7075
519	7646	7057
520	7655	7038
521	7667	7021
522	7678	7003
523	7688	6984
524	7699	6966
525	7711	6949
526	7721	6930
527	7733	6913
528	7745	6896
529	7757	6879
530	7768	6861
531	7780	6844
532	7794	6829
533	7806	6812
534	7816	6793
535	7830	6778
536	7841	6761
537	7851	6742
538	7862	6725
539	7874	6707
540	7884	6689
541	7895	6672
542	7907	6655
543	7917	6637
544	7932	6622
545	7944	6605
546	7956	6588
547	7966	6570
548	7978	6554
549	7990	6537
550	8003	6521
551	8013	6503
552	8027	6488
553	8039	6471
554	8051	6455
555	8062	6438
556	8074	6421
557	8086	6405
558	8096	6387
559	8110	6372
560	8123	6356
561	8136	6340
562	8147	6323
563	8159	6307
564	8171	6291
565	8181	6273
566	8192	6256
567	8204	6240
568	8214	6221
569	8225	6205
570	8238	6189
571	8251	6174
572	8262	6157
573	8275	6142
574	8288	6126
575	8300	6110
576	8311	6093
577	8323	6077
578	8336	6061
579	8348	6045
580	8358	6027
581	8370	6012
582	8383	5996
583	8392	5978
584	8404	5962
585	8416	5946
586	8426	5928
587	8441	5914
588	8453	5899
589	8465	5883
590	8475	5865
591	8486	5849
592	8498	5832
593	8508	5815
594	8519	5799
595	8531	5783
596	8541	5765
597	8556	5751
598	8567	5735
599	8579	5719
600	8588	5701
601	8599	5685
602	8608	5667
603	8621	5652
604	8634	5637
605	8645	5621
606	8661	5607
607	8672	5591
608	8684	5575
609	8695	5559
610	8705	5542
611	8716	5526
612	8729	5511
613	8739	5494
614	8752	5479
615	8767	5465
616	8779	5449
617	8789	5432
618	8801	5417
619	8812	5401
620	8822	5384
621	8834	5368
622	8845	5352
623	8855	5335
624	8868	5320
625	8879	5304
626	8888	5287
627	8900	5272
628	8911	5256
629	8921	5239
630	8933	5224
631	8946	5209
632	8958	5193
633	8968	5177
634	8980	5161
635	8992	5146
636	9003	5130
637	9015	5115
638	9027	5099
639	9038	5084
640	9050	5068
641	9064	5054
642	9078	5040
643	9091	5025
644	9101	5009
645	9113	4994
646	9125	4978
647	9135	4962
648	9147	4947
649	9159	4932
650	9171	4916
651	9182	4901
652	9194	4885
653	9206	4870
654	9216	4854
655	9227	4838
656	9239	4823
657	9250	4808
658	9263	4793
659	9275	4778
660	9287	4762
661	9298	4747
662	9310	4732
663	9322	4717
664	9332	4701
665	9344	4686
666	9355	4670
667	9365	4654
668	9377	4639
669	9390	4625
670	9403	4610
671	9413	4594
672	9425	4579
673	9437	4564
674	9447	4548
675	9458	4533
676	9470	4518
677	9481	4502
678	9494	4488
679	9507	4474
680	9520	4459
681	9530	4443
682	9541	4428
683	9557	4415
684	9570	4401
685	9582	4386
686	9593	4370
687	9605	4355
688	9617	4340
689	9626	4325
690	9637	4309
691	9650	4295
692	9660	4279
693	9672	4264
694	9684	4250
695	9694	4234
696	9708	4220
697	9720	4205
698	9732	4191
699	9743	4175
700	9756	4161
701	9768	4146
702	9779	4131
703	9789	4116
704	9802	4101
705	9815	4087
706	9826	4072
707	9837	4057
708	9849	4042
709	9859	4027
710	9870	4012
711	9882	3997
712	9892	3981
713	9908	3969
714	9922	3955
715	9934	3940
716	9946	3925
717	9955	3910
718	9967	3895
719	9978	3880
720	9989	3865
721	10003	3851
722	10014	3836
723	10026	3822
724	10035	3806
725	10048	3792
726	10061	3778
727	10072	3763
728	10084	3748
729	10098	3734
730	10110	3720
731	10119	3705
732	10132	3690
733	10143	3676
734	10154	3661
735	10166	3646
736	10177	3631
737	10187	3616
738	10198	3601
739	10211	3587
740	10224	3573
741	10233	3558
742	10245	3543
743	10256	3529
744	10266	3514
745	10278	3499
746	10292	3485
747	10303	3471
748	10316	3457
749	10328	3442
750	10340	3428
751	10349	3413
752	10361	3398
753	10373	3384
754	10383	3369
755	10395	3355
756	10408	3341
757	10419	3326
758	10430	3311
759	10442	3297
760	10452	3282
761	10463	3268
762	10475	3253
763	10484	3238
764	10496	3224
765	10508	3210
766	10521	3196
767	10532	3181
768	10543	3167
769	10558	3153
770	10570	3139
771	10582	3125
772	10594	3111
773	10607	3097
774	10619	3083
775	10629	3068
776	10641	3054
777	10652	3039
778	10662	3024
779	10673	3010
780	10684	2996
781	10694	2981
782	10706	2967
783	10718	2953
784	10730	2939
785	10743	2925
786	10757	2911
787	10769	2897
788	10779	2882
789	10791	2868
790	10803	2854
791	10814	2840
792	10827	2826
793	10839	2812
794	10851	2798
795	10861	2783
796	10872	2769
797	10884	2755
798	10894	2740
799	10908	2727
800	10921	2713
801	10933	2699
802	10943	2684
803	10955	2670
804	10967	2656
805	10977	2642
806	10989	2628
807	11001	2614
808	11011	2599
809	11022	2585
810	11035	2571
811	11047	2557
812	11058	2543
813	11073	2530
814	11085	2516
815	11096	2502
816	11106	2487
817	11117	2473
818	11129	2459
819	11140	2445
820	11152	2431
821	11163	2417
822	11178	2404
823	11189	2390
824	11201	2376
825	11214	2362
826	11224	2348
827	11236	2334
828	11249	2320
829	11262	2306
830	11272	2292
831	11283	2278
832	11295	2264
833	11305	2250
834	11317	2236
835	11328	2222
836	11338	2208
837	11352	2194
838	11364	2180
839	11374	2166
840	11385	2152
841	11396	2138
842	11406	2124
843	11419	2110
844	11434	2097
845	11451	2084
846	11466	2071
847	11480	2057
848	11495	2044
849	11509	2031
850	11520	2017
851	11532	2003
852	11544	1989
853	11558	1976
854	11574	1962
855	11584	1948
856	11597	1935
857	11610	1921
858	11620	1907
859	11632	1893
860	11644	1879
861	11655	1866
862	11667	1852
863	11679	1838
864	11691	1824
865	11700	1810
866	11712	1796
867	11724	1783
868	11735	1769
869	11746	1755
870	11759	1741
871	11771	1727
872	11782	1714
873	11793	1700
874	11805	1686
875	11815	1672
876	11827	1658
877	11839	1645
878	11849	1631
879	11861	1617
880	11874	1603
881	11886	1590
882	11896	1576
883	11908	1562
884	11920	1548
885	11929	1534
886	11942	1521
887	11954	1507
888	11965	1493
889	11982	1480
890	11994	1467
891	12005	1453
892	12015	1439
893	12027	1426
894	12038	1412
895	12048	1398
896	12061	1385
897	12073	1371
898	12086	1357
899	12097	1344
900	12108	1330
901	12121	1316
902	12134	1303
903	12145	1289
904	12157	1276
905	12170	1262
906	12182	1249
907	12194	1235
908	12207	1222
909	12219	1208
910	12229	1194
911	12240	1181
912	12252	1167
913	12262	1153
914	12276	1140
915	12290	1127
916	12301	1113
917	12311	1099
918	12324	1086
919	12337	1072
920	12349	1059
921	12359	1045
922	12374	1032
923	12385	1018
924	12396	1005
925	12407	991
926	12420	978
927	12433	964
928	12443	951
929	12455	937
930	12466	923
931	12476	910
932	12488	896
933	12501	883
934	12513	869
935	12524	856
936	12535	842
937	12549	829
938	12561	816
939	12571	802
940	12582	788
941	12591	775
942	12603	761
943	12616	748
944	12629	735
945	12639	721
946	12651	708
947	12663	694
948	12674	681
949	12685	667
950	12697	654
951	12710	640
952	12721	627
953	12734	614
954	12746	600
955	12758	587
956	12768	573
957	12783	560
958	12796	547
959	12808	533
960	12820	520
961	12831	506
962	12843	493
963	12853	480
964	12865	466
965	12876	453
966	12886	439
967	12898	426
968	12910	413
969	12920	399
970	12933	386
971	12945	372
972	12957	359
973	12968	346
974	12982	332
975	12995	319
976	13007	306
977	13017	292
978	13030	279
979	13042	266
980	13052	252
981	13063	239
982	13074	226
983	13084	212
984	13097	199
985	13110	186
986	13123	172
987	13134	159
988	13146	146
989	13157	132
990	13166	119
991	13177	106
992	13189	92
993	13199	79
994	13211	66
995	13224	53
996	13235	39
997	13249	26
998	13262	13
999	13275	0
